"2019-01-08 12:28:18 [main] INFO  c.h.e.EmailSystemApplication - Starting EmailSystemApplication on smsarraf with PID 14228 (/home/smsarraf/Sid/projetcs/email-system/target/classes started by smsarraf in /home/smsarraf/Sid/projetcs/email-system)
""2019-01-08 12:28:18 [main] INFO  c.h.e.EmailSystemApplication - No active profile set, falling back to default profiles: default
""2019-01-08 12:28:19 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-01-08 12:28:19 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 64ms. Found 3 repository interfaces.
""2019-01-08 12:28:20 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f2664999] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-01-08 12:28:20 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-01-08 12:28:20 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-01-08 12:28:20 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-01-08 12:28:20 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
""2019-01-08 12:28:20 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-01-08 12:28:21 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-01-08 12:28:21 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-01-08 12:28:21 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-01-08 12:28:21 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
""2019-01-08 12:28:21 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2019-01-08 12:28:21 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
""2019-01-08 12:28:21 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2019-01-08 12:28:22 [main] INFO  o.h.t.s.internal.SchemaCreatorImpl - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@762bf32d'
""2019-01-08 12:28:22 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/resources/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/static/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/css/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/js/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/images/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/h2-console/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
""2019-01-08 12:28:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@75f4d8a8, org.springframework.security.web.context.SecurityContextPersistenceFilter@64c95480, org.springframework.security.web.header.HeaderWriterFilter@21a9f95b, org.springframework.security.web.authentication.logout.LogoutFilter@ff2266c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@563263a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3451fc88, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@194037f9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69ba72da, org.springframework.security.web.session.SessionManagementFilter@69069866, org.springframework.security.web.access.ExceptionTranslationFilter@333e5fb6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5af38a4a]
""2019-01-08 12:28:23 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
